순번,X 좌표(경도),Y 좌표(위도),충전소 구분
1,127.5755321,34.97710286,급속
2,127.5753236,34.96525635,완속
3,127.59037479999999,34.97701647,급속
4,127.6897749,34.93306421,완속
5,127.5778804,34.96357808,급속
6,127.69542790000001,34.936251899999995,완속
7,127.6968827,34.93059282,급속
8,127.68989843589779,34.94465702552794,완속
9,127.607064,34.97400612,급속
10,127.69741553557844,34.933466809233735,완속
11,127.57958670000001,34.98027338,급속
12,127.57295350891512,34.96288344338771,완속
13,127.6913943,34.95307583,급속
14,127.692992021458,34.94242542221019,완속
15,127.7170155,34.93423236,급속
16,127.58359618053824,34.980973586181214,완속
17,127.57664240000001,34.97438687,급속
18,127.58525379999999,34.97645745,완속
19,127.68727545396278,34.94549468808064,급속
20,127.590331,34.97385716,완속
21,127.7179756,34.96529036,급속
22,127.68773229999998,34.94305392,완속
23,127.6099135,34.97084895,급속
24,127.5833946,34.97364516,완속
25,127.76205630000001,34.94472048,급속
26,127.6993505,34.9341395,완속
27,127.71928419999999,35.01841682,급속
28,127.6893126,34.95050872,완속
29,127.5838952,34.97836658,급속
30,127.56580503398695,34.96911179002555,완속
31,127.76059070000001,34.97636174,급속
32,127.69349199999999,34.93800771,완속
33,127.7166311,34.93659769,급속
34,127.6988915,34.93091425,완속
35,127.55131300318637,34.963258755344555,급속
36,127.5866619,34.97508013,완속
37,127.57076910583864,34.9688023280212,급속
38,127.6094300868202,34.972946744793106,완속
39,127.5845858,34.97563677,급속
40,127.68961159999999,34.93634835,완속
